title,category,severity,tag,why,action,,,cat,,tag
Failure to achieve satisfactory combustion readings  (Flueless Appliance),Combustion / analysis,ID,COMBUSTION RECORDING,,,,,Flue,,FLUE ROUTE/INSTALLATION
Failure to achieve satisfactory combustion readings  (Flued Appliance),Combustion / analysis,AR,COMBUSTION RECORDING,,,,,Combustion / analysis,,FLUE TERMINATION
Labels at gas meter missing,Workmanship,NCS,WORKMANSHIP TIDINESS,,,,,Gas pipework,,COMBUSTION RECORDING
Broken gas pipe clips,Gas Pipework,NCS,PIPEWORK,,,,,Ventilation,,GAS PRESSURE
Inadequate ventilation for open flued appliance,Ventilation,AR,VENTILATION,,,,,Condensate,,CONDENSATE 
Ventilation for open flue appliance which are closeable or have screens,Ventilation,AR,VENTILATION,,,,,Electrical / isolation,,VENTILATION 
Gas cooker installed in room smaller than 20m3,Ventilation,AR,VENTILATION,,,,,Documentation,,DOCUMENTATION
Flueless appliance fitted in a room of inadequate size,Ventilation,AR,VENTILATION,,,,,Workmanship,,PAPERWORK COMMISSIONING
"Ineffective safety device which fails to danger,inoperable or disabled",Safety,ID,GAS SAFETY,,,,,Manufacturer instructions,,WORKMANSHIP 
Failed flue flow test/spillage test,Flue,ID,FLUE ROUTE/INSTALLATION,,,,,Safety,,CO ALARM
Failed flue integrity test O2 < 20.6% or CO2 >0.2%,Flue,ID,FLUE ROUTE/INSTALLATION,,,,,CO Alarm,,MANUFACTURER MI
Inadequate clearance around an open flue appliance,Flue,AR,FLUE ROUTE/INSTALLATION,,,,,ECV/AECV,,GAS SAFETY
"Inadequate clearance around an open flue, flue route",Flue,ID,FLUE ROUTE/INSTALLATION,,,,,Bonding,,ECV/AECV
Flue damper fixed in open position/missing/damaged,Flue,AR,FLUE ROUTE/INSTALLATION,,,,,Gas Meter,,BONDING
Inadequately supported/screwed flue ,Flue,AR,FLUE ROUTE/INSTALLATION,,,,,Cooker,,GAS METER
Two or more appliances fitted to one chimney/flue where one does not have a flame supervision device,Flue,AR,FLUE ROUTE/INSTALLATION,,,,,Pipework,,COOKER
Two or more appliances fitted to one chimney/flue where flue is not designed for this purpose,Flue,AR,FLUE ROUTE/INSTALLATION,,,,,Other,,ELECTRICAL
Two or more appliances fitted to one chimney/flue are in separate rooms and ventilation from opposite sides of the building,Flue,AR,FLUE ROUTE/INSTALLATION,,,,,,,PIPEWORK
Automatic flue damper not interlocked with gas supply,Flue,AR,FLUE ROUTE/INSTALLATION,,,,,,,OTHER
Open flue with one or more defects likely to effect safe operation,Flue,AR,FLUE ROUTE/INSTALLATION,,,,,,,
Mechanically assisted flue not interlocked to gas supply,Flue,AR,FLUE ROUTE/INSTALLATION,,,,,,,
Leakage of POC's from room sealed appliance/Flue,Flue,ID,FLUE ROUTE/INSTALLATION,,,,,,,
Unable to inspect full flue length,Flue,AR,FLUE ROUTE/INSTALLATION,,,,,,,
Flue (RS) that is damaged/unsecure/ incorrectly jointed which could become unsafe,Flue,ID,FLUE ROUTE/INSTALLATION,,,,,,,
Appliance which should be flued but is not,Flue,ID,FLUE ROUTE/INSTALLATION,,,,,,,
Flue not sealed to fabric of the building as per TB152,Flue,NCS,FLUE ROUTE/INSTALLATION,,,,,,,
Flue not clipped/screwed to Manufacturer's instructions,Flue,NCS,FLUE ROUTE/INSTALLATION,,,,,,,
White section of flue visible external against M.I specifications,Flue,NCS,FLUE ROUTE/INSTALLATION,,,,,,,
No ceiling plate for vertical flue through ceiling,Flue,Advisory,FLUE ROUTE/INSTALLATION,,,,,,,
Natural draught flue wall adjacent or wall faced termination,Flue,AR,FLUE TERMINATION,,,,,,,
Open flue terminating in a prohibited zone,Flue,AR,FLUE TERMINATION,,,,,,,
Flue terminating under a covered passageway/ginnel where no POC found entering property (TB007),Flue,AR,FLUE TERMINATION,,,,,,,
Plume kit used to extend flue to outside where air intake in inside,Flue,AR,FLUE TERMINATION,,,,,,,
Flue terminating under a covered passageway/ginnel where  POC found entering property (TB007),Flue,ID,FLUE TERMINATION,,,,,,,
Chimney/flue terminating to internal space,Flue,ID,FLUE TERMINATION,,,,,,,
Flue termination not to specifications,Flue,NCS,FLUE TERMINATION,,,,,,,
Flue terminal guard ineffective/broken,Flue,NCS,FLUE TERMINATION,,,,,,,
Flue within 50mm of terminal guard,Flue,NCS,FLUE TERMINATION,,,,,,,
No date visible on Co aarm,CO Alarm,Advisory,CO ALARM,,,,,,,
"Damaged room seal, not effecting combustion",Workmanship,AR,WORKMANSHIP ,,,,,,,
Condensate trap is dirty,Workmanship,Advisory,WORKMANSHIP ,,,,,,,
Filling loop connected,Workmanship,Advisory,WORKMANSHIP ,,,,,,,
No aecv at point of entry and inadequate access to ECV,ECV/AECV,AR,ECV/AECV,,,,,,,
No aecv at point of entry where there is adequate access to ECV,ECV/AECV,NCS,ECV/AECV,,,,,,,
Let-by of AECV where there is no smell of gas,ECV/AECV,AR,ECV/AECV,,,,,,,
Direction label not present at AECV,ECV/AECV,NCS,ECV/AECV,,,,,,,
Missing handle or restricted access to ECV in an emergency situation,ECV/AECV,ID,ECV/AECV,,,,,,,
Missing handle or restricted access to ECV in a non emergency situation,ECV/AECV,AR,ECV/AECV,,,,,,,
Let-by of ECV where there is no smell of gas,ECV/AECV,AR,ECV/AECV,,,,,,,
Direction label not present at ECV,ECV/AECV,NCS,ECV/AECV,,,,,,,
Inadequate access to ECV (non emergency situation),ECV/AECV,NCS,ECV/AECV,,,,,,,
ECV/AECV falls to the 'on' position,ECV/AECV,NCS,ECV/AECV,,,,,,,
Bonding more than 600mm from meter,Bonding,NCS,BONDING,,,,,,,
Bonding installed after 1st branch,Bonding,NCS,BONDING,,,,,,,
Bonding not directly at point of entry,Bonding,NCS,BONDING,,,,,,,
Bonding inadequately sized,Bonding,NCS,BONDING,,,,,,,
No visible bonding on gas installation ,Bonding,NCS,BONDING,,,,,,,
Co alarm expired,CO Alarm,Advisory,CO ALARM,,,,,,,
Co alarm not operational,CO Alarm,Advisory,CO ALARM,,,,,,,
Data from Co alarm indicates that it has not been tested,CO Alarm,Advisory,CO ALARM,,,,,,,
Co alarm not recorded on LGSR,CO Alarm,Advisory,CO ALARM,,,,,,,
Co alarm incorrectly located,CO Alarm,Advisory,CO ALARM,,,,,,,
Pre-payment or smart meter operating in prepayment mode supplying a secondry meter,Gas Meter,AR,GAS METER,,,,,,,
Pathway for gas to enter property through meter box,Gas Meter,AR,GAS METER,,,,,,,
No gas supply line diagram at primary meter,Gas Meter,NCS,GAS METER,,,,,,,
Pipework /bonding entering building through back of meter box on MP installation,Gas Meter,AR,GAS METER,,,,,,,
Let-by of MIV on MP installation,Gas Meter,AR,GAS METER,,,,,,,
MP vent pipe discharging when gas is being used by customer,Gas Meter,ID,GAS METER,,,,,,,
MP vent pipe blocked,Gas Meter,ID,GAS METER,,,,,,,
MP vent pipe discharging in unsafe position,Gas Meter,ID,GAS METER,,,,,,,
MP vent pipe terminating in unsafe position but not discharging,Gas Meter,AR,GAS METER,,,,,,,
Meter and/or regulator shoing excessive signs of damage/corrosion,Gas Meter,AR,GAS METER,,,,,,,
MP meter installation fitted internally,Gas Meter,AR,GAS METER,,,,,,,
Meter regulator not sealed,Gas Meter,NCS,GAS METER,,,,,,,
No MIV fitted on MP meter installation,Gas Meter,NCS,GAS METER,,,,,,,
No meter bracket fitted,Gas Meter,NCS,GAS METER,,,,,,,
Sheer bolts missing,Gas Meter,NCS,GAS METER,,,,,,,
Meter box/door damaged,Gas Meter,NCS,GAS METER,,,,,,,
No discharge pipe fitted to MP installation,Gas Meter,NCS,GAS METER,,,,,,,
Anaconda ribs touching ,Gas Meter,NCS,GAS METER,,,,,,,
Anaconda stretched,Gas Meter,NCS,GAS METER,,,,,,,
Meter box union missing on semi buried meter box,Gas Meter,NCS,GAS METER,,,,,,,
Anaconda on meter outlet,Gas Meter,NCS,GAS METER,,,,,,,
Gas meter label missing,Gas Meter,NCS,GAS METER,,,,,,,
No meter regualtor fitted,Gas Meter,ID,GAS PRESSURE,,,,,,,
Incorrect gas pressure at meter outlet effecting safe operation of appliance,Gas Meter,ID,GAS PRESSURE,,,,,,,
PE pipework operation over 75mb without OPSO protection,Gas Meter,AR,GAS PRESSURE,,,,,,,
Gas installation failed tightness test,Gas pipework,ID,GAS PRESSURE,,,,,,,
Gas installation passes tightness test but there is a smell of gas,Gas pipework,ID,GAS PRESSURE,,,,,,,
No min/max combustion readings recorded as per M.I's,Documentation,Advisory,DOCUMENTATION,,,,,,,
Combustion readings recorded outside of manufacturer's tolerance,Documentation,Advisory,DOCUMENTATION,,,,,,,
Appliance not suitable with gas supplied,Safety,ID,GAS SAFETY,,,,,,,
Flueless or non-room sealed appliance fitted in bath/shower room,Safety,ID,GAS SAFETY,,,,,,,
FL or non-RS space heater or water heater with atmosphere sensing device in a bed/sleeping room,Safety,AR,GAS SAFETY,,,,,,,
Use of appliance meant for outdoors used internally,Safety,AR,GAS SAFETY,,,,,,,
Evidence of heat damage,Safety,AR,GAS SAFETY,,,,,,,
Appliance fitted to sealed heating system with no PRV fitted,Safety,AR,GAS SAFETY,,,,,,,
Appliance fitted to sealed heating system with PRV fitted but no overheat protection,Safety,AR,GAS SAFETY,,,,,,,
Worcester Gstar 28i Junior failed burner sweep test,Safety,AR,GAS SAFETY,,,,,,,
Incorrectly adjusted burner presure effecting safe operation,Safety,ID,GAS PRESSURE,,,,,,,
Incorrectly adjusted burner presure not effecting safe operation,Safety,AR,GAS PRESSURE,,,,,,,
